Gioco del Lotto Archivio estrazioni e statistiche (2020)
DATE	Bari					Cagliari					Firenze					Genova					Milano					Napoli					Palermo					Roma					Torino					Venezia					Nazionale
2020-09-05	05	50	39	64	15	43	83	23	50	76	01	74	82	06	63	87	04	31	16	58	25	86	33	24	05	03	21	50	07	13	26	14	65	62	86	32	26	43	33	17	17	49	01	36	56	44	79	68	66	34	06	10	25	90	47
2020-09-03	19	02	16	36	56	82	26	87	47	75	66	55	85	44	35	81	88	30	07	15	30	34	42	46	58	28	70	47	61	51	84	89	79	71	56	38	57	71	27	05	58	53	22	16	30	69	67	84	54	41	06	02	88	70	39
2020-09-01	61	20	27	74	52	31	46	32	62	25	56	51	48	87	29	75	69	87	89	56	35	63	81	90	16	43	74	32	70	48	45	12	89	65	10	60	56	27	79	71	37	71	72	11	44	75	23	74	39	46	86	07	09	80	45
2020-08-29	61	19	89	53	56	63	80	48	19	53	89	78	25	87	14	52	68	32	81	74	13	03	52	65	63	81	45	67	66	20	58	76	35	36	25	79	76	73	67	18	40	56	26	02	47	82	09	50	24	33	59	75	37	21	39
2020-08-27	31	55	80	47	40	72	64	43	22	51	14	03	37	84	78	17	60	79	06	02	40	49	57	42	23	33	54	63	53	31	72	83	05	03	63	57	52	54	51	80	46	09	68	65	85	83	48	58	19	71	44	55	84	86	33
2020-08-25	77	72	10	53	34	24	19	53	37	68	69	33	31	36	46	47	13	49	02	14	11	01	52	16	83	07	58	02	73	25	27	14	90	74	13	30	79	51	35	46	35	47	20	07	15	78	24	84	81	51	74	35	30	01	03
2020-08-22	10	74	25	57	65	67	08	82	80	71	49	55	32	77	64	64	62	52	02	41	06	87	88	51	75	11	77	48	52	85	40	16	47	89	50	63	30	55	84	07	01	85	57	47	19	85	83	42	06	36	70	59	72	82	04
2020-08-20	21	52	23	56	02	61	29	49	79	30	28	56	09	81	86	08	48	36	38	84	35	52	34	86	83	53	07	59	68	60	38	71	03	86	57	53	13	03	44	59	63	08	88	54	73	28	38	66	22	63	68	29	38	87	54
2020-08-18	20	39	57	89	22	70	50	54	65	16	01	44	47	04	22	72	71	39	49	42	59	16	86	57	26	80	30	22	42	60	55	07	09	80	45	70	04	81	65	15	44	76	80	04	16	65	31	02	22	15	36	90	75	59	21
2020-08-17	50	48	30	74	14	59	56	67	57	23	18	26	39	68	44	24	87	06	52	77	21	72	15	40	02	54	65	76	39	63	64	24	72	58	67	53	89	62	90	56	34	45	55	70	28	62	75	53	21	26	45	79	15	89	78
2020-08-13	85	14	03	88	26	75	85	81	77	13	69	86	10	60	36	02	57	16	09	59	83	06	51	18	46	75	80	20	52	47	64	05	73	89	88	67	02	60	74	63	83	42	23	03	35	83	87	86	72	88	12	77	42	19	32
2020-08-11	39	20	62	35	07	34	70	31	37	66	82	28	43	48	47	13	70	07	08	69	52	15	02	35	14	19	41	78	11	47	57	56	65	20	40	06	10	44	72	11	52	30	56	09	81	43	52	03	26	10	52	69	60	64	06
2020-08-08	67	68	65	64	79	58	72	16	48	60	09	44	66	48	10	13	20	34	41	09	87	73	59	32	15	74	58	75	71	11	30	38	81	20	32	29	52	41	48	28	61	78	71	76	25	63	24	82	40	52	22	60	68	69	53
2020-08-06	17	88	49	90	62	39	59	66	24	21	58	64	04	29	79	58	11	19	35	04	38	12	70	04	19	50	66	43	87	55	25	22	52	62	05	79	28	20	64	46	42	49	05	14	41	24	73	22	46	19	58	76	81	64	59
2020-08-04	37	51	75	89	06	18	44	89	16	17	43	22	24	45	87	79	19	02	68	34	19	08	85	12	48	83	04	82	76	07	16	80	78	06	66	26	17	50	23	35	83	07	77	43	33	11	81	73	68	33	54	05	69	84	25
2020-08-01	76	69	56	19	61	01	57	40	51	30	22	05	79	48	60	65	51	01	62	02	22	10	34	09	19	73	02	31	15	79	68	45	87	55	71	78	01	67	74	21	83	36	67	23	76	32	30	58	43	66	21	67	77	32	13
2020-07-30	18	52	16	17	70	30	11	45	21	78	77	02	61	04	76	62	16	63	73	78	52	68	35	69	70	58	12	38	59	26	56	35	88	33	18	64	34	84	77	33	64	18	45	79	01	77	90	12	88	86	12	81	03	20	06
2020-07-28	35	61	06	37	66	48	56	21	87	22	45	46	05	47	60	03	53	48	43	36	45	82	30	68	26	21	76	77	07	19	70	65	63	20	40	54	05	53	25	21	03	10	02	18	34	38	30	13	76	10	82	53	19	66	81
2020-07-25	39	02	71	66	03	67	20	32	82	06	02	41	14	17	61	90	28	01	69	10	69	40	64	58	12	52	90	34	60	54	40	13	49	43	66	90	80	81	44	75	31	45	86	23	79	52	33	84	42	56	49	25	19	07	17
2020-07-23	61	07	77	64	25	41	78	15	08	12	82	33	31	18	32	35	46	32	19	84	40	84	80	76	62	49	42	25	02	53	69	65	10	40	44	41	29	49	70	37	52	65	62	12	38	61	38	17	16	23	20	61	05	68	02
